url,label
cronoscapital.com.mx/tools/uploads/,1
people.csail.mit.edu/jaffer/JACAL.html,0
americaeast.com/SportSelect.dbml?DB_OEM_ID=14000&SPID=6542&SPSID=59692,0
police. redunderground.com/,1
drmahmadi.com/benz/C50,1
gomocs.com/ViewArticle.dbml?ATCLID=205332852&DB_OEM_ID=17700,0
enertecs.cl/GoogleDrive/document/,1
spoke.com/info/p6KjH7e/StacyRubenstein,0
to.ly/gHtS,1
nowpublic.com/sports/nhl-playoffs-2011-odds-vegas-odds-2011-stanley-cup-2776092.html,0
kiola.com.br/wp-includes/users/verify/,1
81.177.26.201/apache_handler.php,1
mobil1nanaimo.com/nWb6ALF/qBgNE1D.php?id=,1
www.118bm.com/images/?us.battle.net/login/en/?ref=izsfqfjus.battle.net/d3/en/index&amp;app=com-d3,1
scbonline.net.tc/personal/home/en/secure/login.php,1
tools.ietf.org/html/rfc1568,0
longedomar.com/wp-backup/Logon.htm,1
nakamura-tome.top,1
education.afriquehost.net/,1
esxcc.com/js/index.htm?ref=rvhvdpius.battle.net/d3/en/index,1
globalcardvantagens.com.br/site/Ed/,1
poweroftech.com/soul/,1
freedomfly.net/,0
www.attartebedandbreakfast.it/wp-content/themes/attarte/z/index.htm,1
vlxambiental.com.br/crm2/storage/2014/May/week4/5f0494693f4721ceb71a500066cec59f1eok936cbrmtaflh2d07xysunp4gzjwvq85iondct2j1sk6ia4p93xfzl7buqrym8ewgh5v034475546068/sicurezza/,1
yellowpages.lycos.com/search?what=asian+massage+parlor&where=Long+Branch%2C+New+Jersey,0
bellychef.com/wp-includes/theme-compat/73.exe,1
garmentcenteronline.com/dirbrowse-77.htm,0
packmagico.com/paypal-fr/1582cb44232571b217dadc9b5c8a643d/login.php,1
ncbi.nlm.nih.gov/pmc/articles/PMC1879301/,0
seeya.at/petrobras/,1
ralrab.com/rar/winrar-x64-531.exe/,1
happy.80port.net/bbs/data/__zbSessionTMP/2013gdocs/,1
nitrolasty.gdn/africa/panelnew/,1
supersaludable.com.mx/yahoo/Yahoo-2014/yinput/id.php?l=,1
mosedo.com/form.asp.htm,1
paulbyerscommercialrealestate.com/pincode/excel/excel,1
flqrxgv.chromeupdater.site/,1
www.countrylovin.com/wisehamps/,0
d2-sportsinsider.blogspot.com/2010/11/albany-state-golden-rams-to-play-delta.html,0
megauploadindex.com/Hercules-The-Legendary-Journeys-All-Seasons-DVDRip_26030.html,0
leska-test.angelfire.com/7zw6yo4z,1
grotown.com/dropboxinvestmentporfolio/,1
download-hot.ru/installs/0/a7ce0ea3.exe,1
craskart.com/7832ghd,1
youtube.com/watch?v=XPxHljXK4S8,0
fo-t.com/eng/user/,0
leeroywork3.co/install.apk,1
kogp-evaluering.dk/css/auth/paypal.com/uscgi-binwebscrcmd=_login.submit/dispatch=5885d80a13c0db1f8e263663d/3faee8d4026841ac68a446f69dad17fb2afeca3/,1
www.gsssi.com/fjentry.html,0
investing.businessweek.com/businessweek/research/stocks/people/person.asp?personId=1201317&ticker=ACE/A:CN&previousCapId=381068&previousTitle=Ace%20Aviation%20Holdings%20Inc,0
www.strmedia.com/reels/0000/0004/process.php,1
spacebarshift.wordpress.com/2010/03/page/2/,0
timesgazette.com/main.asp?SectionID=18&SubSectionID=229&ArticleID=172443&TM=42063.85,0
zbzhongbo.com/images/index.htm?us.battle.net/login/en/?ref=juhwnkmus.battle.net/d3/en/index&amp;app=com-d3,1
tuuranbayilik.com/wp-content/le-groupe-edf-2.html/access-adress.php?Facture=47f927f0bfc55522b3729b93e157e65e_france/particulier-facturation/espace_abonnement/,1
www.playr.co.uk/sudoku/,0
binpt.pw/2,1
dedivan.ru/cart.php?shopping_cart=yes&add2cart=225,1
www.mccannas.com/othertip/other.htm,0
srv72657.ht-test.ru/,1
bloomgifts4u.com/system/logs/k1.exe,1
www.groupe-rouquette.com/src/cc/,1
vintage-erotica-forum.com/t95508-fave-youtube-vids.html,0
www.episodes-watch.com/americanexpress2/index.php,1
youtube.com/watch?v=FoJxj9Wd_WY,0
ctmhost.com/ll/ntasa/3f67cc8f40b9a58ffc17a5d5537e33f2/,1
whptv.com/weather/default.aspx,0
whozat.com/person/h/h-pr/h-pr10.html,0
lelivredejeromedellamonica.blogspot.com/,0
dictionary.sensagent.com/ss+politician/en-en/,0
spic.bakufu.org/81rme51,1
secnetcontrol.com/,1
everything.explained.at/contents/list_CHI.htm,0
www.it-director.com/technology/applications/content.php?cid=9087,0
awesome80s.com/Awesome80s/Sports/Memorabilia/Cards/Baseball/1984/Topps_Checklist.asp,0
mizosiri3.web.fc2.com/09yhbvt4,1
bikini-usa.com/Taylor.Matheny.asp,0
gosgmart.com/db_conf/ieccs/reboursementfianace/redirection.php?g4d3bdOsiuarHDdBl0bEP6dBVy_wP1WJ6XZDh7nemRp9bv2mHJ0HYZaZV6xWExsS,1
gumka.strefa.pl/j988765,1
auctionbullet.com/sell-it-searches/1160681510.html,0
dima-pidor.gq/ponytest/admin.php,1
fotofuntastic.com/home/config/yahoo/gif/4e15da052eeaa35c8d8dc1f07a9feb0f/,1
188.123.34.203,1
yenndesigns.com/paypal.de/kunden/secure-code210/now/security/webscr.php?amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e59437b9a691aa3a3f259f01732a0314c89437b9a691aa3a3f259f01732a0314c8&cmd=_login-run,1
shemalelife.net/wp-content/css.php,1
tribeathletics.com/ViewArticle.dbml?DB_OEM_ID=25100&ATCLID=205332750,0
paypal.com.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c0db1f8e263663d3fa.ee8d0b7e678a25d88.3d0fa72c947f193f8fd.5885d80a13c0db1f8e263663d3fa.ee8d0b7e678a25d88.3d0fa72c947f193f8fd.fenilink.com/,1
surubiproducciones.com/wp/wp-includes/ID3/1/noa/art/new/gmail.php,1
costar.com/News/Article/Live-Nation-Entertainments-Beverly-Hills-HQ-Sold/131963,0
puknij.net/hb74,1
nbcuniversalarchives.com/,0
www.alalvera.com/components/com_flexadvert/cgi-bin-webscr-cmd-login/cgi-bin-webscr-cmd-login/www.PayPal.com/7ea5595f29eeab5d8cd2f31d0bd52c5f/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e599d1b95dfb03ba74a66c50ced0bcb3bc99d1b95dfb03ba74a66c50ced0bcb3bc,1
imdb.com/title/tt1407050/combined,0
fnbalaska.com/,0
paypal-kontakt.de/secure/11070/index.php,1
dotcom-enterprises.com/cpgskvx9/,1
nishinomiyaseijunkai.web.fc2.com/987nkjh8,1
amazon.com/Think-Tank-Spoken-Henry-Rollins/dp/B00000C2CU,0
legis.state.sd.us/statutes/DisplayStatute.aspx?Type=StatuteChapter&Statute=34A-16,0
www.confirm-player.tk/,1
tkkf.koszalin.pl/media/PayPal/cc2c200eebf30c8a4b86c7646cf70fc8/index/web/Web,1
