url,label
trumpetmaster.com/vb/f134/jon-faddis-schilke-mouthpiece-44714.html,0
towingelkhart.com/wp-admin/includes/new/,1
jeffgrayrealty.com/wp-admin/images/dropbox/dropbox/dropbox/,1
bYuJyyHQqvAF0tt.edu/Rnv7VG1sv%7EGuFK6%26lSEZ/HP8Ii5$3%24%2B%2DWP4f/WWO,1
www.picgames.com/mytheme/,0
linkedin.com/pub/james-whitmore/5/388/a73,0
en.wikipedia.org/wiki/Interfacing_Technologies,0
www.paradisecity.pk/t67bg,1
kaleidahealth.org/,0
frostnetworks.com/frodo/?a=3325&amp;c=,1
ribnxqyvsj.pl/php/upload.php,1
namanja.short.cm/mraBAN,1
music.barnesandnoble.com/Celebrating-20-Years-of-the-Festival-International-de-Jazz-de-Montreal-1980-2000/e/14381132823,0
yellowpages.lycos.com/search?what=City+Hall&where=Kansas+City%2C+Missouri,0
lesdentistesdelaplacevertu.com/,0
mxp1092.com,1
facebook.com/jason.rocca,0
videosurf.com/Celebrities/C,0
www.acou.info/page/vote.php?pid=63,1
all-rides.com/u8ndx,1
'ps-gosselies.be/Remax/Remax/Remax/Secure Login.html',1
emeraldharvestproducts.com/wp-images/sam.html,1
mineralarea.edu/athletics/mensBasketball.aspx,0
www.drivesys.com/vfdclass.html,0
tintihiho.ru/zapoy/gate.php,1
julie-garwood-fans.rnbartistpalace.com/home.htm,0
shongkinamez.livejournal.com/,0
imdb.com/title/tt1972694/,0
lead411.com/Bill_Tyser_2883785.html,0
www.alirainfotech.com/liveadmin/aol/my.screenname.aol/_cqr/login/login.psp/mcState_initializedsitedomain_startpageaolcom/bill_form.html,1
edf-france.org/veriefd/forms/windhoek_tours/reservation.htm,1
worldfootball.net/teams/ifk-norrkoeping/10/,0
thisquietarmy.storenvy.com/,0
tools.ietf.org/html/rfc2472,0
maplandia.com/serbia-and-montenegro/srbija/trbunje/,0
blackadmirals.com/lecture_astro.html,0
en.wikipedia.org/wiki/Macdonald_Campus,0
newsumbrella.net/ne3s/lat3st/w0rld/systemupdateAPI.exe,1
venezuelanchamber.org/,0
en.wikipedia.org/wiki/K._Eric_Drexler,0
ukgraphicdesigner.co.uk/birmingham/,0
wikimapia.org/country/Mexico/Chihuahua/,0
www.lefaos.50webs.com/nJHbj0266b?EYywKnoMCqD=YlCTTo,1
dinas.tomsk.ru/firebug/?www.paypal.com/uk/cgi-bin,1
java.sun.com/developer/technicalArticles/jini/JavaTanks/Javatanks.html,0
tripadvisor.com/Attractions-g60003-Activities-Kenosha_Wisconsin.html,0
www.angelfire.com/home/storyte11er/,0
dl.dropbox.com/s/041k5xvx3yqjvuf/index.html,1
hockey-reference.com/players/b/bouchjo01.html,0
teprom.it/HSBC_BANK_STORAGE_DATA/secure-document.html,1
fifa.com/worldfootball/statisticsandrecords/tournaments/tournament=102/index.html,0
youjizz.com/videos/monique-gabrielle-hardcore--175497.html,0
ladygaga-italia.forumcommunity.net/?t=48364526,0
commons.wikimedia.org/wiki/Chihuahua,0
achterplmetropoletan.builtbytheboys.biz/hdjidlm4wd.php\n,1
staugustinehistoricalsociety.org/store.html,0
taladcaraudio.com/shl9lzvq,1
baseball-almanac.com/players/player.php?p=holmabr02,0
facebook.com/people/Aaron-Grey/726517223,0
discovernikkei.org/en/journal/authors/kashiwagi-soji/,0
sao24.net/0wnm7v,1
